distance_in_lamda,RMSE
0.10000000000000084,5.082620300277099
0.1999999999999987,5.100794793734071
0.29999999999999954,5.075178266462291
0.40000000000000036,5.046751817592479
0.5000000000000012,4.996923629878888
0.5999999999999991,4.93017434169268
0.7,4.869666096819107
0.8000000000000007,4.805586801248525
0.9000000000000016,4.73376506282087
0.9999999999999994,4.667608992206443
1.999999999999999,4.090549554354183
2.9999999999999982,3.756668424592649
4.000000000000001,3.5486137849537642
5.0,3.505437334872565
6.0,3.5406774278877573
7.000000000000002,3.600154579094881
7.999999999999998,3.6057118252767926
9.000000000000002,3.643262777299438
9.999999999999998,3.566449785537233
11.0,3.581382013942868
12.000000000000002,3.570596628088097
12.999999999999998,3.5850244913303193
14.000000000000002,3.5548011058227647
14.999999999999998,3.5263361608790382
16.0,3.5023875499125574
17.000000000000004,3.5296338715273166
18.0,3.563754608963752
19.0,3.614640014603361
